"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","Regulation","...9","...10"
"OR51E2",3.75514080892595,4.77033287045392,8.71979441061987,4.92393030315368e-14,5.2927880406562e-12,21.5171172396496,"Up",NA,"'OR51E2',"
"KLK3",2.76007085287669,9.89883066699842,3.64696605075942,0.000417154633746114,0.00169492978676625,-0.597935948508517,"Up",NA,"'KLK3',"
"HPN",2.75121422811258,4.34715629639313,11.5282520198018,2.7899962226209e-20,3.16769196125821e-17,35.5829573980715,"Up",NA,"'HPN',"
"FOLH1",2.66014242962828,5.08448307743952,6.26232683919324,8.74060218170855e-09,1.43046647957583e-07,9.72834785287825,"Up",NA,"'FOLH1',"
"KLK2",2.61357222305625,7.94572590589379,3.80943113356969,0.000236439937160706,0.00103274053822106,-0.0656061386984286,"Up",NA,"'KLK2',"
"ABCC4",2.61320481141037,4.70061599840392,8.79451178603826,3.36490524365597e-14,3.77326349729965e-12,21.8893976535246,"Up",NA,"'ABCC4',"
"PDLIM5",2.58773077995923,5.83941255664871,11.7387089957912,9.57738666890115e-21,1.44985671856048e-17,36.6274709895289,"Up",NA,"'PDLIM5',"
"DLX1",2.50988529207681,1.85495222850353,10.5325477461465,4.53056080335871e-18,2.42065198687689e-15,30.6073485143484,"Up",NA,"'DLX1',"
"ACSM1",2.43434668505821,2.73369337675241,7.612827504642,1.29757309911506e-11,5.45641502743617e-10,16.0706716753381,"Up",NA,"'ACSM1',"
"SIM2",2.40821473645469,2.29148274615105,13.7902847393746,3.44375554471765e-25,6.25592632253408e-21,46.6060700120561,"Up",NA,"'SIM2',"
"GOLM1",2.30743066377277,6.76026078785592,8.35833999000822,3.08562081399212e-13,2.38525054072259e-11,19.7229095163535,"Up",NA,"'GOLM1',"
"NKX3-1",2.23776908180088,7.36248223268921,4.06886238149204,9.24051284015584e-05,0.000456149881125736,0.820126860473757,"Up",NA,"'NKX3-1',"
"SPDEF",2.20121035464961,6.77656266229847,4.31049397003645,3.72034284030121e-05,0.00020604122740093,1.68263675041167,"Up",NA,"'SPDEF',"
"GDF15",2.18537229496745,5.64283003420009,6.08834492550629,1.95426957414612e-08,2.90755619033075e-07,8.94758008174808,"Up",NA,"'GDF15',"
"NPY",2.15004157935099,6.88482781068152,3.22345933369945,0.00169389309706411,0.00568679763468244,-1.89970587350309,"Up",NA,"'NPY',"
"AMACR",2.13416101660652,2.32466266601768,11.9579869613877,3.15357129340508e-21,6.36530845733298e-18,37.7123594457927,"Up",NA,"'AMACR',"
"SLC45A3",2.12941248143666,7.57305628820344,3.70760215242151,0.000338137749759672,0.00141274387353592,-0.401323287672156,"Up",NA,"'SLC45A3',"
"GLYATL1",2.10356049901593,2.46380293537077,7.41002644341002,3.53721307818317e-11,1.28771568693939e-09,15.0920927672838,"Up",NA,"'GLYATL1',"
"C2orf72",2.09375819168593,2.4887659413484,9.62897768846016,4.6940837034241e-16,1.06590905695503e-13,26.0681805812624,"Up",NA,"'C2orf72',"
"PLA2G2A",2.03999093019721,6.68048031404108,3.82994966397556,0.000219827355185886,0.000969183036649754,0.00287002848668649,"Up",NA,"'PLA2G2A',"
"TMEFF2",1.98739040174457,4.51170183413338,5.18063601197337,1.09480106998539e-06,9.71101378777081e-06,5.05680006746003,"Up",NA,"'TMEFF2',"
"KLK4",1.97407200562371,7.08779293019995,3.9722529269689,0.000131718733795287,0.000622233826491915,0.485283099509643,"Up",NA,"'KLK4',"
"FASN",1.97179228891321,6.29444669898187,7.27653369974338,6.81693106184118e-11,2.17256788893696e-09,14.4521990032593,"Up",NA,"'FASN',"
"TRPM8",1.97149703873865,3.87745915772639,5.37280183984636,4.79450845104788e-07,4.71559504719739e-06,5.85223808296104,"Up",NA,"'TRPM8',"
"FOXA1",1.96597823616479,6.06823628010536,5.62279877535151,1.6014069756632e-07,1.79797027935091e-06,6.91091924338104,"Up",NA,"'FOXA1',"
"SPON2",1.96241389755171,5.47803672483271,4.34078613382219,3.31179139800972e-05,0.00018614480982749,1.79321457698022,"Up",NA,"'SPON2',"
"PRAC1",1.94032834785708,6.04504573316658,4.00069327376273,0.000118732796033576,0.000568203364790819,0.583247871807966,"Up",NA,"'PRAC1',"
"SPOCK1",1.93994150841102,5.45593522442116,6.20505807150628,1.14029275056384e-08,1.81388424752563e-07,9.47024851557794,"Up",NA,"'SPOCK1',"
"GJB1",1.92577309508268,3.46380316529669,8.09713893868423,1.15290978538882e-12,7.09957937673672e-11,18.4347789549218,"Up",NA,"'GJB1',"
"TRPM4",1.92095806765871,4.73830308438457,8.77717777845922,3.67575198621298e-14,4.09654666144448e-12,21.8029933576677,"Up",NA,"'TRPM4',"
"GALNT7",1.89122082984401,4.54126080012545,7.97245963224423,2.15676955979418e-12,1.18443580451549e-10,17.8229011995602,"Up",NA,"'GALNT7',"
"HOXB13",1.87349313724105,6.27921222079262,3.91007418532451,0.000164998887296208,0.000754931722371665,0.272892899578171,"Up",NA,"'HOXB13',"
"TSPAN1",1.872631804836,7.21664728278079,6.28905011486278,7.71808900034142e-09,1.27692900528417e-07,9.84914395822656,"Up",NA,"'TSPAN1',"
"TDRD1",1.86071266778984,1.32466112727577,8.32522952470396,3.64827461446814e-13,2.79639479520795e-11,19.559191493456,"Up",NA,"'TDRD1',"
"RAB3B",1.84852701296754,3.47397692569444,7.49075945576059,2.37494203595339e-11,9.14050784430706e-10,15.4807565852503,"Up",NA,"'RAB3B',"
"APOF",1.84179951508841,1.36560784898137,10.1697890652411,2.9176888516983e-17,1.06005471359903e-14,28.7857104986352,"Up",NA,"'APOF',"
"SLC43A1",1.83536132177995,3.60584370832831,9.10839065185754,6.77147394150178e-15,9.68587367097018e-13,23.4574027156905,"Up",NA,"'SLC43A1',"
"STEAP1",1.83006645996808,5.64462694541722,4.47674777818805,1.95293960164079e-05,0.000117202183030746,2.29602497834357,"Up",NA,"'STEAP1',"
"PODXL2",1.82563660595833,4.78158170645084,7.30805575178687,5.84037220380911e-11,1.92203263504341e-09,14.6029784527142,"Up",NA,"'PODXL2',"
"ALDH1A3",1.81494525509946,4.52639703429918,6.74935255561822,8.77154663376724e-10,1.96964049627955e-08,11.9632893892571,"Up",NA,"'ALDH1A3',"
"RAP1GAP",1.81337010337761,3.70675179720475,7.3865799086693,3.9701835722508e-11,1.41139637521542e-09,14.9794484812401,"Up",NA,"'RAP1GAP',"
"ARHGEF26",1.81109665307305,3.2051569978874,11.2577667048563,1.10690534672048e-19,1.05831802781706e-16,34.2362953525742,"Up",NA,"'ARHGEF26',"
"CGREF1",1.78893570686117,2.21627981934572,11.6041099288308,1.89708901712693e-20,2.53532537990526e-17,35.9597963664353,"Up",NA,"'CGREF1',"
"ERG",1.76530418190632,2.71244201078268,5.74599277193084,9.24700965157236e-08,1.1154128640801e-06,7.44195847204378,"Up",NA,"'ERG',"
"TMSB15A",1.76389685380749,3.9336800714664,5.30804995519735,6.34343370831129e-07,6.01748390314271e-06,5.58236869047795,"Up",NA,"'TMSB15A',"
"PHGR1",1.76116909447921,1.14170109270498,8.11826262845576,1.03663719168586e-12,6.53873306394627e-11,18.5386475104788,"Up",NA,"'PHGR1',"
"TFF3",1.75699843878767,4.7293594047874,4.63343601157909,1.04993622864591e-05,6.79484913772052e-05,2.88831437690132,"Up",NA,"'TFF3',"
"STEAP2",1.75158604658636,5.65595735575722,4.67143505564669,9.01540533611866e-06,5.95757924103062e-05,3.03396370172944,"Up",NA,"'STEAP2',"
"MARCKSL1",1.74476343204459,7.11091079969562,9.13171320106849,6.00966848578463e-15,9.02244939774905e-13,23.5741388237001,"Up",NA,"'MARCKSL1',"
